neighborhood_municipality,indv_tested,cases,deaths,update_date
North Shore (Pittsburgh),249,26,0,2021-03-29
North Versailles,3270,674,9,2021-03-29
Northview Heights (Pittsburgh),392,59,4,2021-03-29
O'Hara,3091,488,4,2021-03-29
Oakdale,466,104,3,2021-03-29
Oakmont,3943,586,16,2021-03-29
Oakwood (Pittsburgh),260,60,0,2021-03-29
Ohio,2480,456,4,2021-03-29
Overbrook (Pittsburgh),1177,262,5,2021-03-29
Penn Hills,12967,2719,59,2021-03-29
Pennsbury Village,247,56,0,2021-03-29
Perry North (Pittsburgh),1283,251,4,2021-03-29
Perry South (Pittsburgh),1649,285,3,2021-03-29
Pine,4649,943,7,2021-03-29
Pitcairn,10,1,0,2021-03-29
Pleasant Hills,2967,741,19,2021-03-29
Plum,8131,1948,43,2021-03-29
Point Breeze (Pittsburgh),2285,202,2,2021-03-29
Point Breeze North (Pittsburgh),793,96,2,2021-03-29
Polish Hill (Pittsburgh),487,65,0,2021-03-29
Port Vue,1191,270,5,2021-03-29
Rankin,508,92,1,2021-03-29
Regent Square (Pittsburgh),412,42,3,2021-03-29
Reserve,967,231,2,2021-03-29
Richland,3740,840,36,2021-03-29
Ridgemont (Pittsburgh),120,25,0,2021-03-29
Robinson,5279,1113,13,2021-03-29
Ross,10606,2272,85,2021-03-29
Rosslyn Farms,119,14,0,2021-03-29
Scott,6593,1246,55,2021-03-29
Sewickley,1248,205,2,2021-03-29
Sewickley Heights,349,48,1,2021-03-29
Sewickley Hills,183,35,0,2021-03-29
Shadyside (Pittsburgh),6900,659,17,2021-03-29
Shaler,8623,1961,31,2021-03-29
Sharpsburg,976,132,2,2021-03-29
Sheraden (Pittsburgh),1491,315,2,2021-03-29
South Fayette,5012,1258,44,2021-03-29
South Oakland (Pittsburgh),1314,213,3,2021-03-29
South Park,4103,919,6,2021-03-29
South Shore (Pittsburgh),104,11,0,2021-03-29
South Versailles,101,23,1,2021-03-29
Southside Flats (Pittsburgh),3529,715,5,2021-03-29
Southside Slopes (Pittsburgh),1470,308,1,2021-03-29
Spring Garden (Pittsburgh),224,40,0,2021-03-29
Spring Hill-City View (Pittsburgh),1012,227,9,2021-03-29
Springdale Borough,1034,223,5,2021-03-29
Springdale Township,514,98,0,2021-03-29
Squirrel Hill North (Pittsburgh),5548,374,6,2021-03-29
Squirrel Hill South (Pittsburgh),7349,744,30,2021-03-29
St. Clair (Pittsburgh),52,8,0,2021-03-29
Stanton Heights (Pittsburgh),1567,241,5,2021-03-29
